region,division,state,county,stname,ctyname,year,popestimate,births,deaths,rbirth,rdeath
"3","6","01","000","Alabama","Alabama",2023,5108468,58251,59813,11.44154,11.748344
"3","6","01","001","Alabama","Autauga County",2023,60342,714,621,11.893261,10.344138
"3","6","01","003","Alabama","Baldwin County",2023,253507,2531,2640,10.123231,10.559197
"3","6","01","005","Alabama","Barbour County",2023,24585,267,350,10.83494,14.203104
"3","6","01","007","Alabama","Bibb County",2023,21868,240,290,10.94541,13.225703
"3","6","01","009","Alabama","Blount County",2023,59816,698,776,11.698455,13.005732
"3","6","01","011","Alabama","Bullock County",2023,9897,102,133,10.179641,13.273453
"3","6","01","013","Alabama","Butler County",2023,18382,212,299,11.443995,16.14035
"3","6","01","015","Alabama","Calhoun County",2023,116429,1346,1649,11.593004,14.202723
"3","6","01","017","Alabama","Chambers County",2023,34079,398,511,11.6642,14.975895
"3","6","01","019","Alabama","Cherokee County",2023,25666,230,409,9.0162487,16.033243
"3","6","01","021","Alabama","Chilton County",2023,46431,548,588,11.877025,12.743961
"3","6","01","023","Alabama","Choctaw County",2023,12252,108,200,8.7509623,16.205486
"3","6","01","025","Alabama","Clarke County",2023,22337,293,366,13.048028,16.298903
"3","6","01","027","Alabama","Clay County",2023,14111,159,230,11.239132,16.257864
"3","6","01","029","Alabama","Cleburne County",2023,15639,177,229,11.415304,14.768953
"3","6","01","031","Alabama","Coffee County",2023,55643,676,630,12.237177,11.404469
"3","6","01","033","Alabama","Colbert County",2023,58361,636,801,10.932156,13.768328
"3","6","01","035","Alabama","Conecuh County",2023,11174,134,205,11.965354,18.305206
"3","6","01","037","Alabama","Coosa County",2023,10268,89,174,8.6512756,16.913731
"3","6","01","039","Alabama","Covington County",2023,37952,418,653,11.064787,17.285421
"3","6","01","041","Alabama","Crenshaw County",2023,13101,157,225,12.008107,17.20907
"3","6","01","043","Alabama","Cullman County",2023,92016,1015,1146,11.112389,12.546598
"3","6","01","045","Alabama","Dale County",2023,49871,692,623,13.928306,12.5395
"3","6","01","047","Alabama","Dallas County",2023,36165,428,572,11.743079,15.694021
"3","6","01","049","Alabama","DeKalb County",2023,72569,835,945,11.545029,13.065931
"3","6","01","051","Alabama","Elmore County",2023,90441,935,942,10.386523,10.464283
"3","6","01","053","Alabama","Escambia County",2023,36558,428,582,11.694947,15.902943
"3","6","01","055","Alabama","Etowah County",2023,103241,1170,1630,11.351289,15.814188
"3","6","01","057","Alabama","Fayette County",2023,15967,180,276,11.2328,17.223627
